2026-09-02 11:20:23,043 | INFO     | logging_setup | Logging configured. level=DEBUG file=logs\kb_autoanswer_agent.log
2026-09-02 11:20:25,348 | INFO     | __main__ | === KB auto-answer agent run starting ===
2026-09-02 11:20:25,348 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 11:20:25,447 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "POST /api/v1/knowledge_bases/init HTTP/11" 200 None
2026-09-02 11:20:25,447 | DEBUG    | kb.knowledge_base_client | KB init response top-level keys: ['KnowledgeBase', 'KnowledgeBaseTranslation', 'KnowledgeBaseLocale', 'KnowledgeBaseCategory', 'KnowledgeBaseCategoryTranslation', 'KnowledgeBaseAnswer', 'KnowledgeBaseAnswerTranslation', 'User']
2026-09-02 11:20:25,447 | INFO     | kb.knowledge_base_client | Loaded 1 published KB answer(s) from KB init.
2026-09-02 11:20:25,447 | DEBUG    | clients.zammad_client | Searching tickets with query=state.name:(new OR open) AND NOT tags:kb-auto-checked
2026-09-02 11:20:25,447 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 11:20:25,540 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "GET /api/v1/tickets/search?query=state.name%3A%28new+OR+open%29+AND+NOT+tags%3Akb-auto-checked&limit=20 HTTP/11" 200 2
2026-09-02 11:20:25,540 | INFO     | clients.zammad_client | Ticket search returned 0 result(s).
2026-09-02 11:20:25,540 | INFO     | services.kb_auto_answer_service | No candidate tickets found for KB auto-answer.
2026-09-02 11:20:25,540 | INFO     | __main__ | === KB auto-answer agent run finished ===
2026-09-02 11:20:39,966 | INFO     | logging_setup | Logging configured. level=DEBUG file=logs\kb_autoanswer_agent.log
2026-09-02 11:20:41,972 | INFO     | __main__ | === KB auto-answer agent run starting ===
2026-09-02 11:20:41,972 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 11:20:42,079 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "POST /api/v1/knowledge_bases/init HTTP/11" 200 None
2026-09-02 11:20:42,079 | DEBUG    | kb.knowledge_base_client | KB init response top-level keys: ['KnowledgeBase', 'KnowledgeBaseTranslation', 'KnowledgeBaseLocale', 'KnowledgeBaseCategory', 'KnowledgeBaseCategoryTranslation', 'KnowledgeBaseAnswer', 'KnowledgeBaseAnswerTranslation', 'User']
2026-09-02 11:20:42,079 | INFO     | kb.knowledge_base_client | Loaded 1 published KB answer(s) from KB init.
2026-09-02 11:20:42,079 | DEBUG    | clients.zammad_client | Searching tickets with query=state.name:(new OR open) AND NOT tags:kb-auto-checked
2026-09-02 11:20:42,079 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 11:20:42,177 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "GET /api/v1/tickets/search?query=state.name%3A%28new+OR+open%29+AND+NOT+tags%3Akb-auto-checked&limit=20 HTTP/11" 200 None
2026-09-02 11:20:42,177 | INFO     | clients.zammad_client | Ticket search returned 1 result(s).
2026-09-02 11:20:42,177 | INFO     | services.kb_auto_answer_service | Found 1 candidate ticket(s) for KB check.
2026-09-02 11:20:42,177 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 11:20:42,261 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "GET /api/v1/tickets/24?expand=true HTTP/11" 200 None
2026-09-02 11:20:42,262 | INFO     | services.kb_auto_answer_service | Checking ticket #77023 against KB: Reset vm password
2026-09-02 11:20:42,297 | DEBUG    | httpcore.connection | connect_tcp.started host='generativelanguage.googleapis.com' port=443 local_address=None timeout=None socket_options=None
2026-09-02 11:20:42,331 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001F790667B60>
2026-09-02 11:20:42,331 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001F7905C37D0> server_hostname='generativelanguage.googleapis.com' timeout=None
2026-09-02 11:20:42,352 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001F79029A390>
2026-09-02 11:20:42,352 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-09-02 11:20:42,352 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-09-02 11:20:42,352 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-09-02 11:20:42,352 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-09-02 11:20:42,352 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-09-02 11:20:44,198 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'X-Gemini-Service-Tier', b'standard'), (b'Content-Type', b'application/json; charset=UTF-8'), (b'Vary', b'Origin'), (b'Vary', b'X-Origin'), (b'Vary', b'Referer'), (b'Content-Encoding', b'gzip'), (b'Date', b'Wed, 02 Sep 2026 05:50:44 GMT'), (b'Server', b'scaffolding on HTTPServer2'), (b'X-XSS-Protection', b'0'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Content-Type-Options', b'nosniff'), (b'Server-Timing', b'gfet4t7; dur=1823'), (b'Alt-Svc', b'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000'), (b'Transfer-Encoding', b'chunked')])
2026-09-02 11:20:44,199 | INFO     | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-09-02 11:20:44,201 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-09-02 11:20:44,201 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-09-02 11:20:44,202 | DEBUG    | httpcore.http11 | response_closed.started
2026-09-02 11:20:44,202 | DEBUG    | httpcore.http11 | response_closed.complete
2026-09-02 11:20:44,213 | INFO     | ai.answer_generator | Model called get_answer_content({'answer_id': 1})
2026-09-02 11:20:44,214 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 11:20:44,295 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "GET /api/v1/knowledge_bases/2/answers/1 HTTP/11" 200 None
2026-09-02 11:20:44,296 | DEBUG    | kb.knowledge_base_client | Raw answer content response for id=1: {'id': 1, 'assets': {'KnowledgeBaseAnswer': {'1': {'category_id': 1, 'archived_at': None, 'internal_at': None, 'published_at': '2026-09-02T05:29:00.000Z', 'id': 1, 'promoted': False, 'internal_note': None, 'position': 0, 'archived_by_id': None, 'internal_by_id': 3, 'published_by_id': 3, 'created_at': '2026-09-01T06:31:52.718Z', 'updated_at': '2026-09-02T05:29:07.622Z', 'translation_ids': [1], 'attachments': [], 'tags': []}}, 'KnowledgeBaseCategory': {'1': {'id': 1, 'knowledge_base_id': 2, 'parent_id': None, 'category_icon': 'f115', 'position': 0, 'created_at': '2026-09-01T06:31:12.809Z', 'updated_at': '2026-09-02T05:29:07.626Z', 'translation_ids': [1], 'answer_ids': [1], 'child_ids': [], 'permission_ids': [], 'permissions_effective': []}}, 'KnowledgeBase': {'2': {'id': 2, 'iconset': 'FontAwesome', 'color_highlight': '#38ae6a', 'color_header': '#f9fafb', 'color_header_link': 'hsl(206,8%,50%)', 'homepage_layout': 'grid', 'category_layout': 'grid', 'active': True, 'show_feed_icon': False, 'custom_address': None, 'created_at': '2026-09-01T06:26:33.660Z', 'updated_at': '2026-09-01T06:26:33.698Z', 'translation_ids': [2], 'kb_locale_ids': [2], 'category_ids': [1], 'answer_ids': [1], 'permission_ids': [], 'permissions_effective': []}}, 'KnowledgeBaseLocale': {'2': {'id': 2, 'knowledge_base_id': 2, 'system_locale_id': 10, 'primary': True, 'created_at': '2026-09-01T06:26:33.668Z', 'updated_at': '2026-09-01T06:26:33.668Z', 'knowledge_base_translation_ids': [2], 'category_translation_ids': [1], 'answer_translation_ids': [1], 'menu_item_ids': []}}, 'KnowledgeBaseTranslation': {'2': {'id': 2, 'title': 'Writer Knowledge Base', 'footer_note': '© Writer', 'kb_locale_id': 2, 'knowledge_base_id': 2, 'created_at': '2026-09-01T06:26:33.695Z', 'updated_at': '2026-09-01T06:26:33.695Z'}}, 'KnowledgeBaseCategoryTranslation': {'1': {'id': 1, 'title': 'VM Password reset', 'kb_locale_id': 2, 'category_id': 1, 'created_at': '2026-09-01T06:31:12.818Z', 'updated_at': '2026-09-01T06:31:12.818Z'}}, 'KnowledgeBaseAnswerTranslation': {'1': {'id': 1, 'title': 'VM Password Reset', 'kb_locale_id': 2, 'answer_id': 1, 'content_id': 1, 'created_by_id': 3, 'updated_by_id': 3, 'created_at': '2026-09-01T06:31:52.735Z', 'updated_at': '2026-09-01T06:37:16.958Z'}}, 'User': {'3': {'login_failed': 0, 'last_login': '2026-09-02T05:24:36.874Z', 'updated_by_id': 1, 'id': 3, 'organization_id': None, 'login': 'himnish.israni@writerinformation.com', 'firstname': 'Admin', 'lastname': 'Admin', 'email': 'himnish.israni@writerinformation.com', 'image': None, 'image_source': None, 'web': '', 'phone': '', 'fax': '', 'mobile': '', 'department': None, 'street': '', 'zip': '', 'city': '', 'country': '', 'address': None, 'vip': False, 'verified': False, 'active': True, 'note': '', 'source': None, 'out_of_office': False, 'out_of_office_start_at': None, 'out_of_office_end_at': None, 'out_of_office_replacement_id': None, 'preferences': {'notification_config': {'matrix': {'create': {'criteria': {'owned_by_me': True, 'owned_by_nobody': True, 'subscribed': True, 'no': False}, 'channel': {'email': True, 'online': True}}, 'update': {'criteria': {'owned_by_me': True, 'owned_by_nobody': True, 'subscribed': True, 'no': False}, 'channel': {'email': True, 'online': True}}, 'reminder_reached': {'criteria': {'owned_by_me': True, 'owned_by_nobody': False, 'subscribed': False, 'no': False}, 'channel': {'email': True, 'online': True}}, 'escalation': {'criteria': {'owned_by_me': True, 'owned_by_nobody': False, 'subscribed': False, 'no': False}, 'channel': {'email': True, 'online': True}}}}, 'locale': 'en-us', 'intro': True, 'keyboard_shortcuts_clues': True, 'theme': 'dark'}, 'created_by_id': 1, 'created_at': '2026-08-17T10:28:03.503Z', 'updated_at': '2026-09-02T05:24:36.908Z', 'role_ids': [1, 2], 'two_factor_preference_ids': [], 'organization_ids': [], 'authorization_ids': [], 'overview_sorting_ids': [], 'group_ids': {'1': ['full'], '2': ['full'], '3': ['full']}}}}}
2026-09-02 11:20:44,300 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-09-02 11:20:44,300 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-09-02 11:20:44,301 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-09-02 11:20:44,301 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-09-02 11:20:44,301 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-09-02 11:20:46,518 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'X-Gemini-Service-Tier', b'standard'), (b'Content-Type', b'application/json; charset=UTF-8'), (b'Vary', b'Origin'), (b'Vary', b'X-Origin'), (b'Vary', b'Referer'), (b'Content-Encoding', b'gzip'), (b'Date', b'Wed, 02 Sep 2026 05:50:46 GMT'), (b'Server', b'scaffolding on HTTPServer2'), (b'X-XSS-Protection', b'0'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Content-Type-Options', b'nosniff'), (b'Server-Timing', b'gfet4t7; dur=2209'), (b'Alt-Svc', b'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000'), (b'Transfer-Encoding', b'chunked')])
2026-09-02 11:20:46,519 | INFO     | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-09-02 11:20:46,521 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-09-02 11:20:46,523 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-09-02 11:20:46,524 | DEBUG    | httpcore.http11 | response_closed.started
2026-09-02 11:20:46,525 | DEBUG    | httpcore.http11 | response_closed.complete
2026-09-02 11:20:46,527 | INFO     | ai.answer_generator | Agentic KB resolution finished: can_answer=False confidence=low articles_used=[]
2026-09-02 11:20:46,530 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 11:20:46,743 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "PUT /api/v1/tickets/24 HTTP/11" 200 None
2026-09-02 11:20:46,743 | INFO     | clients.zammad_client | Public reply posted to ticket #24 (close=False).
2026-09-02 11:20:46,743 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 11:20:47,003 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "PUT /api/v1/tickets/24 HTTP/11" 200 None
2026-09-02 11:20:47,004 | INFO     | clients.zammad_client | Ticket #24 updated (close=False, group=None).
2026-09-02 11:20:47,006 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 11:20:47,128 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "POST /api/v1/tags/add HTTP/11" 201 4
2026-09-02 11:20:47,128 | INFO     | clients.zammad_client | Tagged ticket #24 with 'kb-auto-checked'.
2026-09-02 11:20:47,128 | INFO     | services.kb_auto_answer_service | Ticket #77023: KB check inconclusive, left for human review.
2026-09-02 11:20:47,128 | INFO     | __main__ | === KB auto-answer agent run finished ===
2026-09-02 11:20:47,181 | DEBUG    | httpcore.connection | close.started
2026-09-02 11:20:47,182 | DEBUG    | httpcore.connection | close.complete
2026-09-02 12:40:33,131 | INFO     | logging_setup | Logging configured. level=DEBUG file=logs\kb_autoanswer_agent.log
2026-09-02 12:40:35,611 | INFO     | __main__ | === KB auto-answer agent run starting ===
2026-09-02 12:40:35,611 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 12:40:35,722 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "POST /api/v1/knowledge_bases/init HTTP/11" 200 None
2026-09-02 12:40:35,722 | DEBUG    | kb.knowledge_base_client | KB init response top-level keys: ['KnowledgeBase', 'KnowledgeBaseTranslation', 'KnowledgeBaseLocale', 'KnowledgeBaseCategory', 'KnowledgeBaseCategoryTranslation', 'KnowledgeBaseAnswer', 'KnowledgeBaseAnswerTranslation', 'User']
2026-09-02 12:40:35,722 | INFO     | kb.knowledge_base_client | Loaded 1 published KB answer(s) from KB init.
2026-09-02 12:40:35,722 | DEBUG    | clients.zammad_client | Searching tickets with query=state.name:(new OR open) AND NOT tags:kb-auto-checked
2026-09-02 12:40:35,722 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 12:40:35,811 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "GET /api/v1/tickets/search?query=state.name%3A%28new+OR+open%29+AND+NOT+tags%3Akb-auto-checked&limit=20 HTTP/11" 200 None
2026-09-02 12:40:35,812 | INFO     | clients.zammad_client | Ticket search returned 1 result(s).
2026-09-02 12:40:35,812 | INFO     | services.kb_auto_answer_service | Found 1 candidate ticket(s) for KB check.
2026-09-02 12:40:35,813 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 12:40:35,890 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "GET /api/v1/tickets/24?expand=true HTTP/11" 200 None
2026-09-02 12:40:35,891 | INFO     | services.kb_auto_answer_service | Checking ticket #77023 against KB: Reset vm password
2026-09-02 12:40:35,897 | DEBUG    | httpcore.connection | connect_tcp.started host='generativelanguage.googleapis.com' port=443 local_address=None timeout=None socket_options=None
2026-09-02 12:40:35,924 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000021263D67CB0>
2026-09-02 12:40:35,924 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000021263CC3850> server_hostname='generativelanguage.googleapis.com' timeout=None
2026-09-02 12:40:35,940 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000021263D67140>
2026-09-02 12:40:35,940 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-09-02 12:40:35,942 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-09-02 12:40:35,942 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-09-02 12:40:35,942 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-09-02 12:40:35,943 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-09-02 12:40:37,459 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'X-Gemini-Service-Tier', b'standard'), (b'Content-Type', b'application/json; charset=UTF-8'), (b'Vary', b'Origin'), (b'Vary', b'X-Origin'), (b'Vary', b'Referer'), (b'Content-Encoding', b'gzip'), (b'Date', b'Wed, 02 Sep 2026 07:10:37 GMT'), (b'Server', b'scaffolding on HTTPServer2'), (b'X-XSS-Protection', b'0'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Content-Type-Options', b'nosniff'), (b'Server-Timing', b'gfet4t7; dur=1525'), (b'Alt-Svc', b'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000'), (b'Transfer-Encoding', b'chunked')])
2026-09-02 12:40:37,474 | INFO     | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-09-02 12:40:37,474 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-09-02 12:40:37,474 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-09-02 12:40:37,474 | DEBUG    | httpcore.http11 | response_closed.started
2026-09-02 12:40:37,474 | DEBUG    | httpcore.http11 | response_closed.complete
2026-09-02 12:40:37,501 | INFO     | ai.answer_generator | Model called get_answer_content({'answer_id': 1})
2026-09-02 12:40:37,501 | DEBUG    | urllib3.connectionpool | Starting new HTTP connection (1): 103.251.252.55:8080
2026-09-02 12:40:37,606 | DEBUG    | urllib3.connectionpool | http://103.251.252.55:8080 "GET /api/v1/knowledge_bases/2/answers/1?include_contents=1 HTTP/11" 200 None
